Name,X1,X2,M,Lp,Formation(SCAN),Formation(PBE),Energy,above,hull,Elastic,constant,Band,gap,(PBE),Band,gap,(GW)
PH-OH-Al,PH,OH,Al,,,0.644612126,,,,,,,,,,,
PH-OH-Bi,PH,OH,Bi,,,0.321120976,,,,,,,,,,,
PH-OH-Ce,PH,OH,Ce,,,1.082619484,,,,,,,,,,,
PH-OH-Ga,PH,OH,Ga,,,0.412116236,,,,,,,,,,,
PH-OH-Gd,PH,OH,Gd,,,1.080016134,,,,,,,,,,,
PH-OH-In,PH,OH,In,,,0.432257412,,,,,,,,,,,
PH-OH-La,PH,OH,La,,,1.149278024,,,,,,,,,,,
PH-OH-Lu,PH,OH,Lu,,,1.120553858,,,,,,,,,,,
PH-OH-Nd,PH,OH,Nd,,,1.099370058,,,,,,,,,,,
PH-OH-Sc,PH,OH,Sc,,,1.095244824,,,,,,,,,,,
PH-OH-Sm,PH,OH,Sm,,,1.104418704,,,,,,,,,,,
PH-OH-Y,PH,OH,Y,,,1.138098446,,,,,,,,,,,
S-OH-Bi,S,OH,Bi,,,0.670262347,,,,,,,,,,,
S-OH-Ce,S,OH,Ce,,,1.922261512,,,,,,,,,,,
S-OH-Gd,S,OH,Gd,,1.264503131,,,,,,,,,,,,
S-OH-In,S,OH,In,,,0.936389997,,,,,,,,,,,
S-OH-La,S,OH,La,,,2.006449112,,,,,,,,,,,
S-OH-Lu,S,OH,Lu,,,1.992806542,,,,,,,,,,,
S-OH-Nd,S,OH,Nd,,,1.938892612,,,,,,,,,,,
S-OH-Sm,S,OH,Sm,,,1.952081124,,,,,,,,,,,
S-OH-Y,S,OH,Y,,,2.012042737,,,,,,,,,,,
Se-OH-Al,Se,OH,Al,,,1.128779025,,,,,,,,,,,
Se-OH-Bi,Se,OH,Bi,,,0.67766025,,,,,,,,,,,
Se-OH-Ce,Se,OH,Ce,,,1.825548882,,,,,,,,,,,
Se-OH-Co,Se,OH,Co,,,0.740472975,,,,,,,,,,,
Se-OH-Cr,Se,OH,Cr,,,1.032374905,,,,,,,,,,,
Se-OH-Fe,Se,OH,Fe,,,0.648076875,,,,,,,,,,,
Se-OH-Ga,Se,OH,Ga,,,0.77849217,,,,,,,,,,,
Se-OH-Gd,Se,OH,Gd,,,1.80769543,,,,,,,,,,,
Se-OH-In,Se,OH,In,,,0.850699475,,,,,,,,,,,
Se-OH-Ir,Se,OH,Ir,,,0.540000155,,,,,,,,,,,
Se-OH-La,Se,OH,La,,,1.906475142,,,,,,,,,,,
Se-OH-Lu,Se,OH,Lu,,,1.84932126,,,,,,,,,,,
Se-OH-Nd,Se,OH,Nd,,,3.194236847,,,,,,,,,,,
Se-OH-Rh,Se,OH,Rh,,,0.75593555,,,,,,,,,,,
Se-OH-Ru,Se,OH,Ru,,,0.503118342,,,,,,,,,,,
Se-OH-Sc,Se,OH,Sc,,,1.78666711,,,,,,,,,,,
Se-OH-Sm,Se,OH,Sm,,,1.84193738,,,,,,,,,,,
Se-OH-Y,Se,OH,Y,,,1.88811617,,,,,,,,,,,
Te-OH-Al,Te,OH,Al,,,0.79127126,,,,,,,,,,,
